service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"MF11-29-679-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-680-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-682-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-688-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-689-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-690-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-693-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-694-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-695-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-697-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-732-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-735-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-738-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-742-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-753-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-754-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-755-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-29-765-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF11-37-510-aus","0","0","0","1","0","0","0","20251201","20260301"
"MF11-37-512-aus","0","0","0","1","0","0","0","20251201","20260301"
"MF11-41-978-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF11-41-979-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF11-41-981-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF11-41-982-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF11-42-357-aus","1","1","1","1","0","0","0","20251201","20260301"
"MF11-42-386-aus","1","1","1","1","0","0","0","20251201","20260301"
"MF11-49-606-aus","1","0","1","1","1","0","0","20251201","20260301"
"MF11-49-612-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF11-49-623-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF11-49-626-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF11-53-422-aus","1","1","1","1","1","0","0","20251201","20260301"
"MF1-20-701-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-20-703-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-20-704-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-20-706-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-20-733-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-20-766-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-20-767-aus","1","1","1","0","0","0","0","20251201","20260301"
"MF1-20-900-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF12-22-695-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF12-22-697-aus","0","0","0","0","1","0","0","20251201","20260301"
"MF12-29-663-aus","0","0","0","1","1","0","0","20251201","20260301"
