stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"10072","10072","Hughes St/Francis St","-37.82125253","144.89066597","","","0","Level 0",""
"10073","10073","Evans St/Bridge St","-37.83418498","144.94058784","","","0","Level 0",""
"10074","10074","Princes St/Bridge St","-37.83588410","144.94241544","","","0","Level 0",""
"10075","10075","Bay Street Shops/Bay St","-37.83850980","144.94260383","","","0","Level 0",""
"10076","10076","Cruikshank St/Liardet St","-37.84002104","144.94502769","","","0","Level 0",""
"10077","10077","Bridport St/Richardson St","-37.84235279","144.94903119","","","0","Level 0",""
"10078","10078","Albert Park Shops/Richardson St","-37.84357915","144.95114500","","","0","Level 0",""
"10079","10079","Kerferd Rd/Richardson St","-37.84557519","144.95451040","","","0","Level 0",""
"1008","1008","Wattle St/Dalton Rd","-37.67855662","145.03003064","","","0","Level 0",""
"10080","10080","Middle Park PS/Richardson St","-37.84718593","144.95748885","","","0","Level 0",""
"10081","10081","Wright St/Richardson St","-37.84800597","144.95904590","","","0","Level 0",""
"10082","10082","Nimmo St/Richardson St","-37.84974881","144.96237323","","","0","Level 0",""
"10084","10084","Armstrong St/Danks St","-37.85308237","144.96284971","","","0","Level 0",""
"10086","10086","Fraser St/Patterson St","-37.85536147","144.96696958","","","0","Level 0",""
"10087","10087","Jacoby Reserve/Park St","-37.85719652","144.97043128","","","0","Level 0",""
"10088","10088","Mary St/Park St","-37.85905675","144.97274446","","","0","Level 0",""
"1009","1009","Maple St/Dalton Rd","-37.67501559","145.03061185","","","0","Level 0",""
"10093","10093","Warland Rd/Carrington St","-37.93606921","145.03372288","","","0","Level 0",""
"10094","10094","Dane Rd/Spring Rd","-37.93994574","145.03381301","","","0","Level 0",""
"10095","10095","Besant St/Spring Rd","-37.94259331","145.03316209","","","0","Level 0",""
"10099","10099","Bluff Rd/Wickham Rd","-37.94288719","145.02327695","","","0","Level 0",""
"101","101","Aquarena/Williamsons Rd","-37.77437570","145.12637945","","","0","Level 0",""
"1010","1010","Deakin Ave/Dalton Rd","-37.67174442","145.03116318","","","0","Level 0",""
"10100","10100","June St/Bluff Rd","-37.94550441","145.02243298","","","0","Level 0",""
"10101","10101","Abberfield Nursing Home/Bluff Rd","-37.94805549","145.02194351","","","0","Level 0",""
"10102","10102","Sandringham College/Bluff Rd","-37.95077656","145.02138116","","","0","Level 0",""
"10103","10103","Bay Rd/Bluff Rd","-37.95432383","145.02064863","","","0","Level 0",""
"10104","10104","Holloway Rd/Bluff Rd","-37.95769938","145.01988649","","","0","Level 0",""
"10105","10105","College Gr/Balcombe Rd","-37.97567846","145.01886832","","","0","Level 0",""
"10106","10106","Cullinane St/Balcombe Rd","-37.97603147","145.02110158","","","0","Level 0",""
"10107","10107","Hunter Ave/Balcombe Rd","-37.97638519","145.02391544","","","0","Level 0",""
"10108","10108","Summerhill Rd/Balcombe Rd","-37.97668155","145.02653734","","","0","Level 0",""
"10109","10109","Haydens Rd/Balcombe Rd","-37.97710062","145.03003259","","","0","Level 0",""
"1011","1011","Ruth St/Dalton Rd","-37.66987509","145.03147335","","","0","Level 0",""
"10110","10110","McNaught St/Balcombe Rd","-37.97805351","145.03527829","","","0","Level 0",""
"10111","10111","Morey St/Balcombe Rd","-37.97814010","145.03938591","","","0","Level 0",""
"10112","10112","Thistle St/Mt Alexander Rd","-37.75084981","144.91426534","","","0","Level 0",""
"10113","10113","Ryland Ave/Maroondah Hwy","-37.79008775","145.26611760","","","0","Level 0",""
"10114","10114","Stirling Rd/Maroondah Hwy","-37.78849600","145.27064043","","","0","Level 0",""
"10118","10118","Bonnie View Rd/Maroondah Hwy","-37.78108142","145.28808405","","","0","Level 0",""
"10119","10119","Golf Links Rd/Maroondah Hwy","-37.77829267","145.29215652","","","0","Level 0",""
"1012","1012","Queen St/Dalton Rd","-37.66805061","145.03177098","","","0","Level 0",""
"10120","10120","Primrose Rd/Maroondah Hwy","-37.77464495","145.29293305","","","0","Level 0",""
"10121","10121","Dorset Rd/Maroondah Hwy","-37.77136388","145.29475694","","","0","Level 0",""
"10122","10122","Exeter Rd/Maroondah Hwy","-37.77047510","145.29561750","","","0","Level 0",""
"10123","10123","Maroondah Golf Park/Maroondah Hwy","-37.76702281","145.30119150","","","0","Level 0",""
"10124","10124","Old Melbourne Rd/Maroondah Hwy","-37.76596539","145.30348622","","","0","Level 0",""
