route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible
"aus:vic:vic-01-ABY:","T0_5","01-ABY--10-T0-8605","1-ABY-mjp-10.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_5","01-ABY--10-T0-8610","1-ABY-mjp-10.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_5","01-ABY--10-T0-8615","1-ABY-mjp-10.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_5","01-ABY--10-T0-8620","1-ABY-mjp-10.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_5","01-ABY--10-T0-8625","1-ABY-mjp-10.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_5","01-ABY--10-T0-8630","1-ABY-mjp-10.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_6","01-ABY--11-T0-8605","1-ABY-mjp-11.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_6","01-ABY--11-T0-8610","1-ABY-mjp-11.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_6","01-ABY--11-T0-8615","1-ABY-mjp-11.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_6","01-ABY--11-T0-8620","1-ABY-mjp-11.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_6","01-ABY--11-T0-8625","1-ABY-mjp-11.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_6","01-ABY--11-T0-8630","1-ABY-mjp-11.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_7","01-ABY--12-T0-8605","1-ABY-mjp-12.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_7","01-ABY--12-T0-8610","1-ABY-mjp-12.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_7","01-ABY--12-T0-8615","1-ABY-mjp-12.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_7","01-ABY--12-T0-8620","1-ABY-mjp-12.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_7","01-ABY--12-T0-8625","1-ABY-mjp-12.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_7","01-ABY--12-T0-8630","1-ABY-mjp-12.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_2","01-ABY--13-T2-8605","1-ABY-mjp-13.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T2_2","01-ABY--13-T2-8610","1-ABY-mjp-13.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_2","01-ABY--13-T2-8612","1-ABY-mjp-13.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_2","01-ABY--13-T2-8615","1-ABY-mjp-13.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T2_2","01-ABY--13-T2-8620","1-ABY-mjp-13.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_2","01-ABY--13-T2-8625","1-ABY-mjp-13.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T2_2","01-ABY--13-T2-8630","1-ABY-mjp-13.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T3_2","01-ABY--14-T3-8605","1-ABY-mjp-14.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T3_2","01-ABY--14-T3-8610","1-ABY-mjp-14.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T3_2","01-ABY--14-T3-8615","1-ABY-mjp-14.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T3_2","01-ABY--14-T3-8617","1-ABY-mjp-14.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T3_2","01-ABY--14-T3-8620","1-ABY-mjp-14.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T3_2","01-ABY--14-T3-8625","1-ABY-mjp-14.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T3_2","01-ABY--14-T3-8630","1-ABY-mjp-14.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_8","01-ABY--15-T0-8605","1-ABY-mjp-15.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_8","01-ABY--15-T0-8610","1-ABY-mjp-15.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_8","01-ABY--15-T0-8615","1-ABY-mjp-15.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_8","01-ABY--15-T0-8620","1-ABY-mjp-15.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_8","01-ABY--15-T0-8625","1-ABY-mjp-15.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_8","01-ABY--15-T0-8630","1-ABY-mjp-15.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_9","01-ABY--16-T0-8605","1-ABY-mjp-16.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_9","01-ABY--16-T0-8610","1-ABY-mjp-16.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_9","01-ABY--16-T0-8615","1-ABY-mjp-16.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_9","01-ABY--16-T0-8620","1-ABY-mjp-16.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_9","01-ABY--16-T0-8625","1-ABY-mjp-16.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_9","01-ABY--16-T0-8630","1-ABY-mjp-16.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_10","01-ABY--17-T0-8605","1-ABY-mjp-17.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_10","01-ABY--17-T0-8610","1-ABY-mjp-17.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_10","01-ABY--17-T0-8615","1-ABY-mjp-17.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_10","01-ABY--17-T0-8620","1-ABY-mjp-17.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_10","01-ABY--17-T0-8625","1-ABY-mjp-17.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_10","01-ABY--17-T0-8630","1-ABY-mjp-17.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_11","01-ABY--18-T0-8605","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_11","01-ABY--18-T0-8610","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_11","01-ABY--18-T0-8615","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_11","01-ABY--18-T0-8620","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_11","01-ABY--18-T0-8625","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_11","01-ABY--18-T0-8630","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_3","01-ABY--18-T2-8605","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T2_3","01-ABY--18-T2-8610","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_3","01-ABY--18-T2-8612","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_3","01-ABY--18-T2-8615","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T2_3","01-ABY--18-T2-8620","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_3","01-ABY--18-T2-8625","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T2_3","01-ABY--18-T2-8630","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T3_3","01-ABY--18-T3-8605","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T3_3","01-ABY--18-T3-8610","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T3_3","01-ABY--18-T3-8615","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T3_3","01-ABY--18-T3-8617","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T3_3","01-ABY--18-T3-8620","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T3_3","01-ABY--18-T3-8625","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T3_3","01-ABY--18-T3-8630","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","UI","01-ABY--18-UI-8605","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","UI","01-ABY--18-UI-8610","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","UI","01-ABY--18-UI-8612","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","UI","01-ABY--18-UI-8615","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","UI","01-ABY--18-UI-8620","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","UI","01-ABY--18-UI-8625","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","UI","01-ABY--18-UI-8630","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","UL","01-ABY--18-UL-8605","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","UL","01-ABY--18-UL-8610","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","UL","01-ABY--18-UL-8615","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","UL","01-ABY--18-UL-8617","1-ABY-mjp-18.2.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","UL","01-ABY--18-UL-8620","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","UL","01-ABY--18-UL-8625","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","UL","01-ABY--18-UL-8630","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","UX","01-ABY--18-UX-8605","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","UX","01-ABY--18-UX-8610","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","UX","01-ABY--18-UX-8612","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","UX","01-ABY--18-UX-8615","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","UX","01-ABY--18-UX-8620","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","UX","01-ABY--18-UX-8625","1-ABY-mjp-18.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","UX","01-ABY--18-UX-8630","1-ABY-mjp-18.3.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_12","01-ABY--19-T0-8605","1-ABY-mjp-19.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_12","01-ABY--19-T0-8610","1-ABY-mjp-19.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_12","01-ABY--19-T0-8615","1-ABY-mjp-19.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_12","01-ABY--19-T0-8620","1-ABY-mjp-19.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_12","01-ABY--19-T0-8625","1-ABY-mjp-19.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_12","01-ABY--19-T0-8630","1-ABY-mjp-19.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_4","01-ABY--19-T2-8605","1-ABY-mjp-19.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T2_4","01-ABY--19-T2-8610","1-ABY-mjp-19.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_4","01-ABY--19-T2-8612","1-ABY-mjp-19.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_4","01-ABY--19-T2-8615","1-ABY-mjp-19.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T2_4","01-ABY--19-T2-8620","1-ABY-mjp-19.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_4","01-ABY--19-T2-8625","1-ABY-mjp-19.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T2_4","01-ABY--19-T2-8630","1-ABY-mjp-19.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0","01-ABY--1-T0-8605","1-ABY-mjp-1.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0","01-ABY--1-T0-8610","1-ABY-mjp-1.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0","01-ABY--1-T0-8615","1-ABY-mjp-1.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0","01-ABY--1-T0-8620","1-ABY-mjp-1.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0","01-ABY--1-T0-8625","1-ABY-mjp-1.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0","01-ABY--1-T0-8630","1-ABY-mjp-1.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_13","01-ABY--20-T0-8605","1-ABY-mjp-20.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_13","01-ABY--20-T0-8610","1-ABY-mjp-20.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_13","01-ABY--20-T0-8615","1-ABY-mjp-20.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_13","01-ABY--20-T0-8620","1-ABY-mjp-20.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_13","01-ABY--20-T0-8625","1-ABY-mjp-20.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_13","01-ABY--20-T0-8630","1-ABY-mjp-20.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_5","01-ABY--20-T2-8605","1-ABY-mjp-20.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T2_5","01-ABY--20-T2-8610","1-ABY-mjp-20.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_5","01-ABY--20-T2-8612","1-ABY-mjp-20.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_5","01-ABY--20-T2-8615","1-ABY-mjp-20.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T2_5","01-ABY--20-T2-8620","1-ABY-mjp-20.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_5","01-ABY--20-T2-8625","1-ABY-mjp-20.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T2_5","01-ABY--20-T2-8630","1-ABY-mjp-20.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T3_4","01-ABY--20-T3-8605","1-ABY-mjp-20.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T3_4","01-ABY--20-T3-8610","1-ABY-mjp-20.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T3_4","01-ABY--20-T3-8615","1-ABY-mjp-20.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T3_4","01-ABY--20-T3-8617","1-ABY-mjp-20.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T3_4","01-ABY--20-T3-8620","1-ABY-mjp-20.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T3_4","01-ABY--20-T3-8625","1-ABY-mjp-20.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T3_4","01-ABY--20-T3-8630","1-ABY-mjp-20.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2","01-ABY--2-T2-8605","1-ABY-mjp-2.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T2","01-ABY--2-T2-8610","1-ABY-mjp-2.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2","01-ABY--2-T2-8612","1-ABY-mjp-2.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2","01-ABY--2-T2-8615","1-ABY-mjp-2.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T2","01-ABY--2-T2-8620","1-ABY-mjp-2.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2","01-ABY--2-T2-8625","1-ABY-mjp-2.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T2","01-ABY--2-T2-8630","1-ABY-mjp-2.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T3","01-ABY--3-T3-8605","1-ABY-mjp-3.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T3","01-ABY--3-T3-8610","1-ABY-mjp-3.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T3","01-ABY--3-T3-8615","1-ABY-mjp-3.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T3","01-ABY--3-T3-8617","1-ABY-mjp-3.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T3","01-ABY--3-T3-8620","1-ABY-mjp-3.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T3","01-ABY--3-T3-8625","1-ABY-mjp-3.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T3","01-ABY--3-T3-8630","1-ABY-mjp-3.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_1","01-ABY--4-T0-8605","1-ABY-mjp-4.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_1","01-ABY--4-T0-8610","1-ABY-mjp-4.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_1","01-ABY--4-T0-8615","1-ABY-mjp-4.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_1","01-ABY--4-T0-8620","1-ABY-mjp-4.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_1","01-ABY--4-T0-8625","1-ABY-mjp-4.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_1","01-ABY--4-T0-8630","1-ABY-mjp-4.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_2","01-ABY--5-T0-8605","1-ABY-mjp-5.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_2","01-ABY--5-T0-8610","1-ABY-mjp-5.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_2","01-ABY--5-T0-8615","1-ABY-mjp-5.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_2","01-ABY--5-T0-8620","1-ABY-mjp-5.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_2","01-ABY--5-T0-8625","1-ABY-mjp-5.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_2","01-ABY--5-T0-8630","1-ABY-mjp-5.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_3","01-ABY--6-T0-8605","1-ABY-mjp-6.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_3","01-ABY--6-T0-8615","1-ABY-mjp-6.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_3","01-ABY--6-T0-8625","1-ABY-mjp-6.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_4","01-ABY--7-T0-8605","1-ABY-mjp-7.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_4","01-ABY--7-T0-8610","1-ABY-mjp-7.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_4","01-ABY--7-T0-8615","1-ABY-mjp-7.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_4","01-ABY--7-T0-8620","1-ABY-mjp-7.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T0_4","01-ABY--7-T0-8625","1-ABY-mjp-7.1.H","Albury","0","","1"
"aus:vic:vic-01-ABY:","T0_4","01-ABY--7-T0-8630","1-ABY-mjp-7.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_1","01-ABY--8-T2-8610","1-ABY-mjp-8.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_1","01-ABY--8-T2-8612","1-ABY-mjp-8.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_1","01-ABY--8-T2-8620","1-ABY-mjp-8.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T2_1","01-ABY--8-T2-8630","1-ABY-mjp-8.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T3_1","01-ABY--9-T3-8610","1-ABY-mjp-9.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T3_1","01-ABY--9-T3-8620","1-ABY-mjp-9.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ABY:","T3_1","01-ABY--9-T3-8630","1-ABY-mjp-9.2.R","Southern Cross","1","","1"
"aus:vic:vic-01-ART:","T0_5","01-ART--10-T0-8180","1-ART-mjp-10.6.R","Southern Cross","1","","1"
"aus:vic:vic-01-ART:","T0_5","01-ART--10-T0-8181","1-ART-mjp-10.1.H","Ararat","0","","1"
"aus:vic:vic-01-ART:","T0_5","01-ART--10-T0-8182","1-ART-mjp-10.4.R","Ballarat","1","","1"
"aus:vic:vic-01-ART:","T0_5","01-ART--10-T0-8183","1-ART-mjp-10.1.H","Ararat","0","","1"
"aus:vic:vic-01-ART:","T0_5","01-ART--10-T0-8184","1-ART-mjp-10.5.R","Southern Cross","1","","1"
"aus:vic:vic-01-ART:","T0_5","01-ART--10-T0-8185","1-ART-mjp-10.1.H","Ararat","0","","1"
"aus:vic:vic-01-ART:","T0_5","01-ART--10-T0-8186","1-ART-mjp-10.5.R","Southern Cross","1","","1"
"aus:vic:vic-01-ART:","T0_5","01-ART--10-T0-8187","1-ART-mjp-10.2.H","Ararat","0","","1"
"aus:vic:vic-01-ART:","T0_5","01-ART--10-T0-8188","1-ART-mjp-10.5.R","Southern Cross","1","","1"
"aus:vic:vic-01-ART:","T0_5","01-ART--10-T0-8189","1-ART-mjp-10.3.H","Ararat","0","","1"
"aus:vic:vic-01-ART:","T0_6","01-ART--11-T0-8180","1-ART-mjp-11.6.R","Southern Cross","1","","1"
"aus:vic:vic-01-ART:","T0_6","01-ART--11-T0-8181","1-ART-mjp-11.1.H","Ararat","0","","1"
"aus:vic:vic-01-ART:","T0_6","01-ART--11-T0-8182","1-ART-mjp-11.4.R","Ballarat","1","","1"
"aus:vic:vic-01-ART:","T0_6","01-ART--11-T0-8183","1-ART-mjp-11.1.H","Ararat","0","","1"
"aus:vic:vic-01-ART:","T0_6","01-ART--11-T0-8184","1-ART-mjp-11.5.R","Southern Cross","1","","1"
"aus:vic:vic-01-ART:","T0_6","01-ART--11-T0-8185","1-ART-mjp-11.1.H","Ararat","0","","1"
"aus:vic:vic-01-ART:","T0_6","01-ART--11-T0-8186","1-ART-mjp-11.5.R","Southern Cross","1","","1"
"aus:vic:vic-01-ART:","T0_6","01-ART--11-T0-8187","1-ART-mjp-11.2.H","Ararat","0","","1"
"aus:vic:vic-01-ART:","T0_6","01-ART--11-T0-8188","1-ART-mjp-11.5.R","Southern Cross","1","","1"
"aus:vic:vic-01-ART:","T0_6","01-ART--11-T0-8189","1-ART-mjp-11.3.H","Ararat","0","","1"
"aus:vic:vic-01-ART:","T0_7","01-ART--12-T0-8180","1-ART-mjp-12.6.R","Southern Cross","1","","1"
"aus:vic:vic-01-ART:","T0_7","01-ART--12-T0-8181","1-ART-mjp-12.1.H","Ararat","0","","1"
