stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"12176","Beaconsfield Station","-38.05112566","145.36650027","","vic:rail:BFD","1","Level 0","1"
"12177","Beaconsfield Station","-38.05107192","145.36652426","","vic:rail:BFD","1","Level 0","2"
"12178","Berwick Station","-38.03983078","145.34503260","","vic:rail:BEW","1","Level 0","1"
"12179","Berwick Station","-38.03979650","145.34515871","","vic:rail:BEW","1","Level 0","2"
"12180","Narre Warren Station","-38.02759031","145.30378076","","vic:rail:NWA","1","Level 1","1"
"12181","Narre Warren Station","-38.02751889","145.30382798","","vic:rail:NWA","1","Level 1","2"
"12182","Hallam Station","-38.01794675","145.26971499","","vic:rail:HLM","1","Level 0","1"
"12183","Hallam Station","-38.01782079","145.26972934","","vic:rail:HLM","1","Level 0","2"
"12184","Cranbourne Station","-38.09977370","145.28074169","","vic:rail:CBE","1","Level 0","1"
"12185","Cranbourne Station","-38.09972949","145.28079974","","vic:rail:CBE","1","Level 0","2"
"12186","Merinda Park Station","-38.07904333","145.26336215","","vic:rail:MPK","1","Level 0","1"
"12187","Dandenong Station","-37.99014081","145.20983503","","vic:rail:DNG","1","Level 0","1"
"12188","Dandenong Station","-37.99010512","145.20985868","","vic:rail:DNG","1","Level 0","2"
"12189","Dandenong Station","-37.98998732","145.20981599","","vic:rail:DNG","1","Level 0","3"
"12190","Yarraman Station","-37.97773178","145.19100970","","vic:rail:YMN","1","Level 0","1"
"12191","Yarraman Station","-37.97769627","145.19104473","","vic:rail:YMN","1","Level 0","2"
"12192","Noble Park Station","-37.96629632","145.17587747","","vic:rail:NPK","1","Level 1","1"
"12193","Noble Park Station","-37.96625233","145.17594686","","vic:rail:NPK","1","Level 1","2"
"12194","Sandown Park Station","-37.95649396","145.16272372","","vic:rail:SNP","1","Level 0","1"
"12195","Flagstaff Station","-37.81216317","144.95522846","","vic:rail:FGS","1","Level -4","3"
"12196","Flagstaff Station","-37.81204489","144.95516356","","vic:rail:FGS","1","Level -4","4"
"12197","Melbourne Central Station","-37.80998282","144.96253553","","vic:rail:MCE","1","Level -3","3"
"12198","Melbourne Central Station","-37.80991898","144.96249185","","vic:rail:MCE","1","Level -3","4"
"12199","Parliament Station","-37.81097201","144.97285637","","vic:rail:PAR","1","Level -3","3"
"12200","Parliament Station","-37.81092148","144.97306221","","vic:rail:PAR","1","Level -3","4"
"12201","Flinders Street Station","-37.81860631","144.96770585","","vic:rail:FSS","1","Level 0","13"
"12202","Flinders Street Station","-37.81852446","144.96766266","","vic:rail:FSS","1","Level 0","12"
"12203","Flinders Street Station","-37.81876079","144.96673600","","vic:rail:FSS","1","Level 0","10"
"12204","Flinders Street Station","-37.81864369","144.96673921","","vic:rail:FSS","1","Level 0","9"
"12205","Flinders Street Station","-37.81858025","144.96671823","","vic:rail:FSS","1","Level 0","8"
"12206","East Camberwell Station","-37.82584107","145.06824844","","vic:rail:ECM","1","Level 0","1"
"12207","East Camberwell Station","-37.82576845","145.06821625","","vic:rail:ECM","1","Level 0","2"
"12208","East Camberwell Station","-37.82568794","145.06825243","","vic:rail:ECM","1","Level 0","3"
"12209","Canterbury Station","-37.82471032","145.08066171","","vic:rail:CBY","1","Level 0","3"
"12210","Canterbury Station","-37.82474950","145.08085384","","vic:rail:CBY","1","Level 0","1"
"12211","Canterbury Station","-37.82469564","145.08086659","","vic:rail:CBY","1","Level 0","2"
"12212","Chatham Station","-37.82426367","145.08866022","","vic:rail:CHM","1","Level 0","1"
"12213","Chatham Station","-37.82421918","145.08869545","","vic:rail:CHM","1","Level 0","2"
"12214","Chatham Station","-37.82425874","145.08946699","","vic:rail:CHM","1","Level 0","3"
"12221","Box Hill Station","-37.81934528","145.12183478","","vic:rail:BOX","1","Level -1","2"
"12222","Box Hill Station","-37.81927340","145.12184796","","vic:rail:BOX","1","Level -1","3"
"12223","Box Hill Station","-37.81911283","145.12138625","","vic:rail:BOX","1","Level -1","4"
"12224","Laburnum Station","-37.82062888","145.14082011","","vic:rail:LAB","1","Level 0","2"
"12225","Laburnum Station","-37.82074743","145.14090803","","vic:rail:LAB","1","Level 0","1"
"12226","Blackburn Station","-37.82019776","145.15006717","","vic:rail:BBN","1","Level 0","1"
"12227","Blackburn Station","-37.82010785","145.15008078","","vic:rail:BBN","1","Level 0","2"
"12228","Blackburn Station","-37.82003596","145.15009394","","vic:rail:BBN","1","Level 0","3"
